id_clasificacion;Nombre;Descripcion;Estado
1;"Brocha 4"" ";Brocha De 4 Pulgasdas;0
2;Agujas Para Ganado;Agujas Para Ganado;0
3;"Tenaza de 8"" Fermetal";"Tenaza de 8"" Fermetal";0
3;Arco de Seguea Stanley;Arco de Seguea Stanley;0
3;Carretilla 140Lt;Carretilla 140Lt;0
3;Cepillo Construcion;Cepillo Construcion;0
3;Chicura C/Cabo;Chicura C/Cabo;0
3;Pico C/Cabo;Pico C/Cabo;0
3;Pala Ancha;Pala Ancha;0
3;Rastrillo;Rastrillo;0
3;Cinta Metrica;Cinta Metrica;0
4;Compresor de 1/4;Compresor de 1/4;0
5;Criadora Infraroja Cap. 1800 Pollos bb;Criadora Infraroja con Capacidad de 1800 Pollos bb;0
6;Filtro A-4731;Filtro A-4731;0
5;Jualas de 7 Puestos X 3 ;Jualas de 7 Puestos X 3 ;0
5;Mecanismos Para Bebederos Automaticos;Mecanismos Para Bebederos Automaticos;0
6;Porta Nailon Universal;Porta Nailon Universal;0
7;Silla De Trabajo De Cuero Semiaperada;Silla De Trabajo De Cuero Semiaperada;0
5;Bebedero Automatico Pollos;Bebedero Automatico Pollos;0
6;Desmalezadora Domopower 45cc 83-D45;Desmalezadora Domopower 45cc 83-D45;0
8;Tanque Decoplas 900 Lts;Tanque Decoplas 900 Lts;0
5;Bebedero tipo Copa;Bebedero tipo Copa;0
6;Bandeja  Semillero 162 Pts;Bandeja de semilleros con 162 puestos;0
8;Rueda Neumatica De Carretilla;Rueda Neumatica De Carretilla;0
9;Aceite dos tiempo;Aceite dos tiempo;0
10;Adaptador 25 mm x 3/4;Adaptador 25 mm x 3/4;0
11;Alambre Liso 1Kg;Alambre Liso 1Kg;0
11;Alambre Pua 500 Mts;Alambre Pua 500 Mts;0
10;Anillo pvc 1/2;Anillo pvc 1/2;0
11;Barilla de Cobre;Barilla de Cobre;0
11;Barra Cuadrada 5/8;Barra Cuadrada 5/8;0
12;Bloque de 10;Bloque de 10;0
12;Bloque de 15;Bloque de 15;0
13;Bobina Plastica de 30x40;Bobina Plastica de 30x40;0
13;Bolsa de 30x40 S/A cien;Bolsa de 30x40 S/A cien;0
13;Bolsa de 30x40 S/A mil;Bolsa de 30x40 S/A mil;0
13;Bolsas de 15 Kg c/asa;Bolsas de 15 Kg c/asa;0
14;Bombillo 100w;Bombillo 100w;0
14;Bombillo 60w;Bombillo 60w;0
14;Bombillo 75w;Bombillo 75w;0
11;Cabilla 5,2 mm;Cabilla 5,2 mm;0
12;Cal 8 kg;Cal 8 kg;0
15;Caujo Bixa 1Lts;Caujo Bixa 1Lts;0
16;Cloro 1 lts;Cloro 1 lts;0
10;Codo 45° pavco 1;Codo 45° pavco 1;0
10;Codo 45° pavco 1 1/2;Codo 45° pavco 1 1/2;0
10;Codo 45° pavco 1/2;Codo 45° pavco 1/2;0
10;Codo 45° pavco 2;Codo 45° pavco 2;0
10;Codo 45° pavco 3/4;Codo 45° pavco 3/4;0
10;Codo 90º Desague 1 1/2;Codo 90º Desague 1 1/2;0
10;Codo 90º Desague 2;Codo 90º Desague 2;0
10;Codo 90º Desague 3;Codo 90º Desague 3;0
10;Codo 90º Desague 4;Codo 90º Desague 4;0
10;Codo 90º Desague 5;Codo 90º Desague 5;0
17;Concha de Arroz;Concha de Arroz;0
17;Cortina 60 X 2,10 Anaranjada Sin Bordes;Cortina 60 X 2,10 Anaranjada Sin Bordes;0
18;Creolina;Creolina;0
17;Dedos Desplumadora;Dedos Desplumadora;0
16;Desengrasante 1 lts;Desengrasante 1 lts;0
18;Despacadac 5 Lt;Desinfectante antimicrobiano contra bacterias, hongos, mohos y virus patógenos y perniciosos para las especies avícolas, ganaderas, porcinas, etc. ;0
16;Detergente en Polvo 1kg;Detergente en Polvo 1kg;0
11;"Disco de Corte 14""";"Disco de Corte 14""";0
11;"Disco de Corte Ultra Fino 14"" 2mm";"Disco de Corte Ultra Fino 14"" 2mm";0
17;Driza 1 Mts;Driza 1 Mts;0
11;Electrodos E6013 1/8 ;Electrodos E6013 1/8 ;0
19;Fosforo;Fosforo;0
17;Grampa;Grampa;0
22;Hervisida;Hervisida;0
17;Humus Liquido 1 lt;Humus Liquido 1 lt;0
16;Jabon Liq. 1lts;Jabon Liq. 1lts;0
11;Lamina Zinc Ondulado 2.44X0.80X0.17Mm;Lamina Zinc Ondulado 2.44X0.80X0.17Mm;0
11;Lamina Zinc Ondulado 3.66X0.80X0.18Mm;Lamina Zinc Ondulado 3.66X0.80X0.18Mm;0
11;Lima Motosierra 5/32  Bv;Lima Motosierra 5/32  Bv;0
10;Lima Triangular;Lima Triangular;0
10;Llave de Paso 3/4;Llave de Paso 3/4;0
17;Malla Plastica 1/2 De 1,60 X 30Mts;Malla Plastica 1/2 De 1,60 X 30Mts;0
17;Malla Plastica 3/4 De 1,80 X 30 mts;Malla Plastica 3/4 De 1,80 X 30 mts;0
10;Manguera De 25mm x 100 mts;Manguera De 25mm x 100 mts;0
17;Mecatillo;Mecatillo;0
11;Nylon Para Desmalezadora;Nylon Para Desmalezadora;0
10;Pega Tanque;Pega Tanque;0
24;Pintura De Aceite Negro Brillante;Pintura De Aceite Negro Brillante;0
17;PP30 ;Rollo De Mecatillo;0
21;Rabo De Cochino Para Gas;Rabo De Cochino Para Gas;0
21;Regulador De Gas Con Adap.;Regulador De Gas Con Adap.;0
17;Rollo De Malla Plastica 1.83X30 Mts De 3/4;Rollo De Malla Plastica 1.83X30 Mts De 3/4;0
17;Separadores De Huevo;Separadores De Huevo;0
20;Socate;Socate;0
20;Socate/Toma Corriente;Socate/Toma Corriente;0
23;Talonario;Talonario;0
10;Tee PVC Desague 1 1/2;Tee PVC Desague 1 1/2;0
10;Tee PVC Desague 2;Tee PVC Desague 2;0
10;Tee PVC Desague 3;Tee PVC Desague 3;0
10;Tee PVC Desague 4;Tee PVC Desague 4;0
10;Tee PVC Desague 5;Tee PVC Desague 5;0
10;Tee PVC Desague 6;Tee PVC Desague 6;0
10;Tee PVC Desague 7;Tee PVC Desague 7;0
10;Tee PVC Desague 8;Tee PVC Desague 8;0
10;Tee Rapida 25 mm;Tee Rapida 25 mm;0
10;Tee Rapida 40 mm;Tee Rapida 40 mm;0
10;"Teflon   1"" x 10 Mts. ";"Teflon   1"" x 10 Mts. ";0
10;"Teflon   1"" x 20 Mts.";"Teflon   1"" x 20 Mts.";0
10;Teflon 1/2 X 10 Mts.;Teflon 1/2 X 10 Mts.;0
10;Teflon 1/2 X 20 Mts.;Teflon 1/2 X 20 Mts.;0
10;Teflon 3/4 X 10 Mts.;Teflon 3/4 X 10 Mts.;0
10;Teflon 3/4 X 20 Mts.;Teflon 3/4 X 20 Mts.;0
10;Teflon 3/4 x 50 Mts.;Teflon 3/4 x 50 Mts.;0
11;Tirra 004X350M;Tirra 004X350M;0
12;Tripa Carretilla;Tripa Carretilla;0
10;Tuberia pavco 1;Tuberia pavco 1;0
10;Tuberia pavco 1 1/2;Tuberia pavco 1 1/2;0
10;Tuberia pavco 1/2;Tuberia pavco 1/2;0
10;Tuberia pavco 2;Tuberia pavco 2;0
10;Tuberia pavco 3/4;Tuberia pavco 3/4;0
10;Tubo Azul 3/4;Tubo Azul 3/4;0
10;Tubo Sanitario 11Omm X 3Mts;Tubo Sanitario 11Omm X 3Mts;0
11;Tubular 2x1;Tubular 2x1;0
11;Tubular 2x1x6Mts 0.90;Tubular 2x1x6Mts 0.90;0
10;Union Rapida 25 mm ;Union Rapida 25 mm ;0
11;Visagra;Visagra;0
37;Pollo Preiniciador Agrobueyca;Alimento para ser suministrado a pollitos BB desde la recepción hasta los 7 días de edad. ;0
36;Pollo Iniciador Agrobueyca;Alimento Balanceado para ser suministrado a pollos desde los 8 a los 21 días de edad;0
35;Pollo Engorde Agrobueyca;Alimento Balanceado para ser suministrado a pollos en la etapa de 22 hasta los 35 días de edad. ;0
38;Pollo Retiro Agrobueyca;Alimento sin coccidiostato, diseñado para la finalización de los pollos entre 36 a 42 días máximo. ;0
33;Cerdos Preiniciador Precoz Agrobueyca;Alimento en lechones, desde la segunda semana de edad, hasta que alcancen el peso de 8 a 10 Kg ó 35 días de edad. ;0
33;Cerdos Preiniciador Agrobueyca;Para ser usado en lechones de 8 a 20Kg. Está medicado para combatir el stress y la diarrea de los lechones en etapa de crecimiento.;0
32;Cerdos Iniciador Agrobueyca;Alimento Balanceado completo, muy palatable, para ser usado en lechones de 20 a 40 Kg. Se administrará sin racionamiento. ;0
30;Cerdos Desarrollo Agrobueyca;Alimento Balanceado completo, para ser utilizado en cerdos de 40 hasta 65 Kg. Se administrará sin racionamiento.;0
31;Cerdos Engorde Agrobueyca;Alimento Balanceado completo, para ser utilizado en cerdos de 65 hasta 95 Kg ó hasta su beneficio. Se administrará sin racionamiento.  ;0
28;Cerdas Gestantes Agrobueyca;Alimento Balanceado completo, para ser suministrado a las cerdas gestantes a razón de 2 a 3 Kg. Según condición física y estado de la gestación. ;0
29;Cerdas Lactantes Agrobueyca;Alimento Balanceado completo, muy palatable, para ser suministrado a las cerdas lactantes. Se usa como única fuente de alimentación desde el momento del parto hasta el destete de los lechones.;0
27;Agrobecerros;Alimento Balanceado indicado para becerros de reemplazo y de engorde adecuado a la etapa de crecimiento;0
39;Vacas Lecheras 18%  Agrobueyca;Alimento Balanceado altamente energético, muy palatable, se suministrará de acuerdo a la producción lechera y cantidad de forraje para vacas de hasta 12 litros de producción diaria;0
39;Vacas Lecheras 16%  Agrobueyca;Alimento Balanceado altamente engergético, muy palatable, se suministra de acuerdo a la producción lechera y cantidad de forraje. Para vacas de hasta 18 litros de producción diaria.;0
39;Vacas Lecheras 20% Agrobueyca;Alimento Balanceado altamente engergético, muy palatable, se suministrará de acuerdo a la producción lechera y cantidad de forraje. Para vacas más de 18 litros de producción diaria;0
39;Vacas Lecheras Clasicas Agrobueyca;Alimento Balanceado altamente engergético, muy palatable, se suministrará de acuerdo a la producción lechera y cantidad de forraje. Para vacas de hasta 8 litros de producción diaria. ;0
39;Vacas Lecheras Agrollano;Alimento Balanceado altamente engergético, muy palatable, se suministrará de acuerdo a la producción lechera y cantidad de forraje. Para vacas de hasta 6 litros de producción diaria. ;0
34;Agroceba;Alimento Balanceado indicado para mantenimiento de ganado de carne en el peridodo de ceba.;0
34;Agroceba Plus;Alimento Balanceado, altamente energético, indicado  para mantenimiento y producción de ganado de carne en el período de ceba;0
37;Pre-Nutripollito Ultra Alconca;Suminístrese a libre acceso, desde el primer día hasta los 7 días de edad. Asegúrese que los pollitos dispongan en todo momento de agua limpia, fresca y abundante;0
36;Nutripollito Ultra Alconca;Suminístrese a libre acceso, desde el séptimo día hasta los 21 días de edad.;0
35;Nutripollo Alconca;Suminístrese a libre acceso, desde los 22 días de edad hasta que los pollos obtengan el peso de mercado deseado.;0
33;Porcidestete Alconca;Alimento completo destinado a la alimentación de cerditos antes y después del destete. Suministre a libre acceso desde el séptimo día hasta que los cerditos hayan alcanzado 14 Kg;0
32;Porcilechon Alconca;Suminístrese a libre acceso, desde los 14 Kg. de peso corporal hasta que los lechones alcancen 29 Kg. de peso;0
30;Porcidesarrollo Alconca;Suminístrese a libre acceso desde los 29Kg.de peso corporal hasta que los cerdos hayan alcanzado los 65 Kg. de peso;0
31;Porciengorde Alconca;Suminístrese a libre acceso desde los 65 Kg. de peso corporal hasta que los cerdos hayan alcanzado el peso de mercado deseado;0
29;Porcilactante Alconca;Suminístrese de 2 a 3 Kg de alimento de 3 a 4 semanas antes del parto.El día del parto suminístrese 1 Kg de alimento.Posteriormente suminístrese 2 Kg diarios + 400 g por cada Lechón.;0
28;Porcimantenimiento Alconca;Suminístrese a las cerdas gestantes de 2 a 3 Kg diarios dependiendo de la condición física del animal desde el día de la monta y hasta 21 a 28 días antes del parto;0
39;Ganarina Lecheras Alconca;Use este alimento desde 20 días antes del parto hasta él término del período de producción de leche.;0
27;Ganarina Becerro Alconca;Suministrarse a libre acceso desde los 4 días de edad hasta el cuarto mes;0
34;Ganarina Ceba Alconca;Ganarina Ceba Alconca;0
26;Melaza Cunete;Melaza Cunete;0
25;Puricachama;Puricachama;0
26;Sal Roja;Sal Roja;0
46;Aftovac B 50 Ds ;Aftovac B 50 Ds ;0
40;Amoxicilina;Amoxicilina;0
46;Bobita F10 x 2Dosis;Bobita F10 x 2Dosis;0
40;Enrrosig 1lt;Antibiotico respiratorio Enrofloxacina;0
43;Eritrogen;Producto que reúne en sus componentes 4 acciones principales: Antianémico,Anabolizante, Energético y Estimulante;0
41;Garrapaticida ;Garrapaticida ;0
46;Gumboro 1000 ds;Es una vacuna viva contra la Bursitis Infecciosa o Enfermedad de Gumboro de las aves. ;0
46;Gumboro 2500 ds;Es una vacuna viva contra la Bursitis Infecciosa o Enfermedad de Gumboro de las aves. ;0
46;Gumboro 5000 ds;Es una vacuna viva contra la Bursitis Infecciosa o Enfermedad de Gumboro de las aves. ;0
42;Hidratopp;Hidratopp;0
42;Hidravit;Hidravit;0
47;Hierro De 100 ml;Hierro De 100 ml;0
44;Lepeci;Lepeci;0
45;Mata Gusano En Crema;Mata Gusano En Crema;0
44;Matabicheiras Forte;Matabicheiras Forte;0
47;Megasig Diamond 500 ml;:En trastornos nutricionales como suplemento de Vitaminas, Aminoácidos y Minerales.Para mejorar el metabolismo orgánico , para aumentar la producción de carne, en los terneros para reducir el stress durante el destete;0
47;Multivitamina La Grua;Multivitamina La Grua;0
46;New Castle 1000 ds;New Castle 1000 ds;0
46;New Castle 2500 ds;New Castle 2500 ds;0
45;Percloruro ( Cicatrizante);Percloruro ( Cicatrizante);0
47;Promotor L 1Lts;Promotor L 1Lts;0
40;Tylafur;Antibiotico respiratorio;0
47;Vita Pro;Vita Pro;0
48;Pago de Seguro;Pago de Seguro;0
49;Pago de Credito;Pago de Credito;0
50;Serv. Mecanica;Serv. Mecanica;0
50;Serv. Herreria;Serv. Herreria;0
50;Serv. Mano de Obra;Serv. Mano de Obra;0
50;Serv. Refrigeracion;Serv. Refrigeracion;0
51;Turbo Td05;Turbo Td05;0
51;Bomba De Aceita Y Concha De Viela;Bomba De Aceita Y Concha De Viela;0
51;Abrazaderas De Alternador;Abrazaderas De Alternador;0
51;Swicthe De Encendido;Swicthe De Encendido;0
51;Puente Central Camion;Puente Central Camion;0
51;Filtro Combustiible 33399;Filtro Combustiible 33399;0
51;Kit De Axiales;Kit De Axiales;0
51;Puente Central Mitsubishi Fuso 444;Puente Central Mitsubishi Fuso 444;0
51;Filtro Combustiible 33281;Filtro Combustiible 33281;0
52;Pollo Bebe;Pollo Bebe;0
52;Ponedora Bebe;Ponedora Bebe;0
56;Cerdo Bebe;Cerdo Bebe;0
55;Yegua;Yegua;0
55;Ganado;Ganado;0
52;Ponedora;Ponedora;0
53;Alevin;Peces;0
54;Aceite 1 lt;Aceite 1 lt;0
54;Arroz 1kg;Arroz 1kg;0
54;Atun ;Atun ;0
54;Azucar 1kg;Azucar 1kg;0
54;Café 250 gr;Café 250 gr;0
54;Café 500 gr;Café 500 gr;0
54;Casabe;Casabe;0
54;Espagueti 1/2 kg;Espagueti 1/2 kg;0
54;Espagueti 1kg;Espagueti 1kg;0
54;Fororo 1 Kg;Fororo 1 Kg;0
54;Mantequilla;Mantequilla;0
54;Mayonesa;Mayonesa;0
54;Mortadela 1 Kg;Mortadela 1 Kg;0
54;Pan Canilla;Pan Canilla;0
54;Refresco;Refresco;0
54;Sal 1 kg;Sal 1 kg;0
54;Salsa de Tomate;Salsa de Tomate;0
54;Sardina Lata;Sardina Lata;0
54;Adobo;Adobo;0
54;Tomate 1 kg;Tomate 1 kg;0
54;Cebolla 1 kg;Cebolla 1 kg;0
54;Sardina Fresca 1kg;Sardina Fresca 1kg;0
54;Pollo 1kg;Pollo 1kg;2
54;Patas de Pollo 1 kg;Patas de Pollo 1 kg;1
54;Molleja Pollo 1 kg;Molleja Pollo 1 kg;1
54;Higado Pollo 1 kg;Higado Pollo 1 kg;1
54;Chuleta Cochino 1 kg;Chuleta Cochino 1 kg;1
54;Pernil Cochino 1 kg;Pernil Cochino 1 kg;1
54;Cabeza Cochino 1 kg;Cabeza Cochino 1 kg;1
54;Costilla Cochino 1 kg;Costilla Cochino 1 kg;1
54;Paleta Cochino 1 kg;Paleta Cochino 1 kg;1
54;Patas Cochino 1 kg;Patas Cochino 1 kg;1
54;Azadura Cochino 1 kg;Azadura Cochino 1 kg;1
54;Carne de Res Primera 1kg;Carne de Res 1kg;2
54;Carne de Res Segunda 1kg;Carne de Res 1kg;2
